tipo;matricula;nome;genero;email;ano;media;areaConhecimento;limiteAlunos;horasAula
turma;DAS003;Modelagem;;;2019;;Gestao;40;60
professor;004;Fabio;M;fabio@ufsc.br;1962;;Gestao;;
professor;003;Carlson;M;carlson@ufsc.br;1962;;Enxame;;
aluno;100;Victor;M;victor.xr8@gmail.com;1999;9.0;;;
aluno;104;Tapetinho;M;n tem;2000;10.6;;;
aluno;105;Leandra;F;ngostodo@afonso.com;2000;9.6;;;
aluno;106;José;M;filo@sofia.com;1982;8.9;;;
aluno;107;Amanda;F;amanda@gmail.com;1999;9.0;;;
aluno;108;Marcio;M;marcio@gmail.com;1999;8.5;;;
aluno;109;Pedro;M;pedro@gmail.com;2000;8.6;;;
aluno;110;Augusto;M;augusto@gmail.com;1998;8.3;;;
aluno;111;Giovanni;M;giovanni@gmail.com;2000;10.6;;;
aluno;120;McDonald;X;mcdonald@gmail.com;1982;8.9;;;
aluno;121;Burger King;F;kingb@gmail.com;1999;9.0;;;
aluno;122;Guilherme;M;guilherme@gmail.com;1999;8.5;;;
aluno;123;Azazel;F;azazel@gmail.com;2000;8.6;;;
aluno;124;Pew Pie;M;pewpie@gmail.com;1998;8.3;;;
aluno;125;Pablo;X;vit@gmail.com;1998;8.3;;;
aluno;126;Anderson;M;anderson@gmail.com;2000;10.6;;;
aluno;127;Julia;F;julia@gmail.com;2000;9.6;;;
aluno;128;Victoria;M;victoria@gmail.com;1982;8.9;;;
aluno;129;Roberta;F;roberta@gmail.com;1999;9.0;;;
aluno;130;Maria;F;maria@gmail.com;1999;8.5;;;
aluno;131;Jaqueline;F;jaq@gmail.com;1963;9.5;;;
